"('home', 0.01733154)","('digit', 0.012749846)","('work', 0.00930281)","('get', 0.009073333)","('smart', 0.008498076)","('people', 0.008318116)","('product', 0.0082308175)","('thermostat', 0.008230018)","('new', 0.007640552)","('may', 0.0074984464)"
"('switch', 0.08129306)","('light', 0.027711123)","('smart', 0.0228227)","('control', 0.01276914)","('like', 0.011504261)","('wall', 0.01117375)","('dimmer', 0.011070987)","('look', 0.010464119)","('remote', 0.0102564525)","('use', 0.009961607)"
"('wifi', 0.02221054)","('would', 0.015035773)","('digit', 0.013225151)","('network', 0.012930196)","('like', 0.0125581)","('connect', 0.012057381)","('use', 0.01192914)","('speaker', 0.01089018)","('router', 0.010839883)","('think', 0.009687579)"
"('digit', 0.038498487)","('get', 0.01770488)","('know', 0.016286071)","('go', 0.010894745)","('say', 0.010174862)","('buy', 0.009972626)","('day', 0.009885076)","('want', 0.009336345)","('house', 0.00919545)","('like', 0.0091140475)"
"('digit', 0.023726525)","('get', 0.016824108)","('go', 0.00995768)","('sure', 0.008788616)","('make', 0.008503692)","('thing', 0.007112593)","('think', 0.0062309257)","('work', 0.006180553)","('would', 0.0059160152)","('need', 0.005818954)"
"('fan', 0.04384471)","('control', 0.042431556)","('switch', 0.03763202)","('use', 0.03357687)","('light', 0.028428972)","('want', 0.015743947)","('smart', 0.014686372)","('would', 0.009554833)","('turn', 0.009435546)","('wall', 0.0081572225)"
"('digit', 0.02403908)","('home', 0.019802397)","('use', 0.01505661)","('audio', 0.01316312)","('system', 0.01134965)","('device', 0.011313163)","('would', 0.009679591)","('good', 0.009662272)","('automation', 0.009360368)","('like', 0.008872369)"
"('google', 0.056843247)","('home', 0.0471281)","('alexa', 0.018770011)","('like', 0.015006947)","('use', 0.013615245)","('smart', 0.01237382)","('get', 0.011302106)","('echo', 0.010857246)","('go', 0.010672779)","('voice', 0.010134524)"
"('smart', 0.038649097)","('alexa', 0.019786429)","('plug', 0.01938639)","('home', 0.0178553)","('use', 0.01564362)","('get', 0.013736569)","('work', 0.011536769)","('digit', 0.011207846)","('need', 0.010684913)","('thing', 0.010200385)"
"('use', 0.016126795)","('get', 0.013993226)","('system', 0.012326219)","('thing', 0.009967866)","('go', 0.00877137)","('want', 0.007225438)","('user', 0.0071359305)","('people', 0.0068445015)","('well', 0.0066410145)","('mean', 0.0065266113)"
"('dollardigit', 0.023703389)","('digit', 0.020237057)","('get', 0.017267466)","('would', 0.01335339)","('use', 0.01205848)","('take', 0.011733023)","('device', 0.010475973)","('like', 0.009923222)","('go', 0.0070012747)","('cost', 0.0068443855)"
"('hub', 0.030674888)","('smartthing', 0.027487544)","('device', 0.024809686)","('wink', 0.020288376)","('use', 0.01743916)","('zigbee', 0.012371269)","('digit', 0.012255877)","('work', 0.012032557)","('light', 0.011376271)","('hue', 0.010647193)"
