"('digit', 0.0053459946)","('use', 0.003924409)","('switch', 0.0036532502)","('get', 0.00343852)","('work', 0.0029113994)","('light', 0.0025698463)","('go', 0.0024356004)","('smart', 0.0022522258)","('like', 0.0022197317)","('device', 0.001947466)"
"('digit', 0.0050922954)","('switch', 0.0041157366)","('get', 0.003851058)","('use', 0.0037853187)","('like', 0.0028177002)","('go', 0.0024731392)","('work', 0.0024328735)","('want', 0.0020786626)","('smart', 0.0020414107)","('light', 0.0020119708)"
"('digit', 0.006168029)","('use', 0.004196596)","('get', 0.0029328112)","('would', 0.0029209955)","('switch', 0.0028199805)","('light', 0.0027064867)","('smart', 0.0026117056)","('like', 0.0022831676)","('go', 0.0021620318)","('hub', 0.0021592146)"
"('digit', 0.007351427)","('get', 0.004034108)","('use', 0.0035508028)","('switch', 0.0034911975)","('would', 0.0031523737)","('go', 0.0030840687)","('like', 0.0028354318)","('work', 0.0025880258)","('hub', 0.0025307254)","('smart', 0.002375666)"
"('digit', 0.006237892)","('use', 0.0041752113)","('switch', 0.0035181728)","('light', 0.002957688)","('would', 0.0029411474)","('get', 0.0028501183)","('go', 0.0026437805)","('work', 0.0025642135)","('smart', 0.002417503)","('like', 0.0023516132)"
"('digit', 0.0054638926)","('use', 0.004753374)","('work', 0.0030889818)","('switch', 0.0030737773)","('smart', 0.0029922777)","('get', 0.002907994)","('like', 0.002657472)","('light', 0.0022620303)","('would', 0.0022264845)","('go', 0.00221323)"
"('digit', 0.0071564456)","('switch', 0.0038495902)","('use', 0.0035229812)","('work', 0.0030997186)","('get', 0.0029349956)","('like', 0.0026266149)","('want', 0.0022084923)","('smart', 0.0021064377)","('device', 0.002058315)","('light', 0.0019319848)"
"('digit', 0.0054732817)","('use', 0.0036045236)","('get', 0.003261137)","('switch', 0.0031328187)","('like', 0.0028690752)","('work', 0.0026683419)","('smart', 0.0026555778)","('light', 0.0024575738)","('control', 0.0020825812)","('would', 0.0020698907)"
"('digit', 0.005498544)","('use', 0.0043822075)","('like', 0.003305263)","('switch', 0.0032366258)","('get', 0.0031910788)","('smart', 0.0024780256)","('would', 0.0024125113)","('go', 0.0023706765)","('want', 0.0022581236)","('work', 0.0022253548)"
"('digit', 0.0051387222)","('use', 0.00463718)","('switch', 0.0038775115)","('work', 0.0032162068)","('get', 0.003116262)","('smart', 0.0027412253)","('go', 0.0023985927)","('would', 0.0022884195)","('light', 0.0022767957)","('hub', 0.00197948)"
"('digit', 0.00548758)","('use', 0.0035838508)","('get', 0.0035119634)","('switch', 0.0033758995)","('smart', 0.0027400716)","('like', 0.0025451523)","('go', 0.0024122316)","('work', 0.0022483352)","('would', 0.0021666507)","('turn', 0.0020492922)"
"('digit', 0.0055469004)","('use', 0.0044899597)","('switch', 0.0032691832)","('like', 0.0025606195)","('get', 0.002479624)","('would', 0.0024357173)","('work', 0.002431172)","('smart', 0.0024303757)","('go', 0.0019529656)","('light', 0.0018013503)"
"('digit', 0.007215364)","('switch', 0.003927652)","('use', 0.0035188654)","('would', 0.0026036093)","('smart', 0.0025415649)","('work', 0.0024465993)","('go', 0.0023844303)","('light', 0.0022980776)","('get', 0.0021345783)","('hub', 0.0018879178)"
"('digit', 0.0048027374)","('use', 0.0039416314)","('get', 0.0033112976)","('switch', 0.0029155507)","('work', 0.0027918972)","('go', 0.0026916608)","('like', 0.0026502386)","('smart', 0.0025476755)","('would', 0.0020825625)","('control', 0.0019587001)"
"('digit', 0.005593858)","('use', 0.0039613564)","('switch', 0.003914489)","('get', 0.0033813303)","('work', 0.0026302591)","('smart', 0.0024374577)","('go', 0.0022889725)","('control', 0.002237068)","('hub', 0.0021251969)","('would', 0.002091035)"
"('digit', 0.0060577565)","('switch', 0.0033793123)","('get', 0.0033336282)","('use', 0.003001815)","('would', 0.002583321)","('light', 0.0025704524)","('like', 0.0024083331)","('work', 0.002346286)","('device', 0.0021644789)","('want', 0.0020932695)"
"('digit', 0.0045043128)","('switch', 0.0039595724)","('use', 0.0036033574)","('work', 0.0027390409)","('get', 0.0025655113)","('light', 0.0025470622)","('like', 0.0024739872)","('go', 0.00221663)","('would', 0.0021354398)","('control', 0.0020985417)"
"('digit', 0.005217441)","('switch', 0.0052018496)","('use', 0.0035835614)","('like', 0.002897057)","('get', 0.0028129923)","('light', 0.002796861)","('would', 0.0024798268)","('control', 0.0022728958)","('hub', 0.0021362512)","('go', 0.0020474724)"
"('digit', 0.0074840942)","('get', 0.0038864703)","('switch', 0.003811196)","('use', 0.0028187667)","('go', 0.0026688017)","('would', 0.002353507)","('work', 0.002350428)","('control', 0.002276495)","('light', 0.0021499952)","('hub', 0.0021161942)"
"('use', 0.004195692)","('digit', 0.0038715897)","('work', 0.0030856906)","('get', 0.0030827927)","('switch', 0.0030750595)","('go', 0.0026713186)","('want', 0.0023172407)","('like', 0.0022437342)","('would', 0.002093215)","('need', 0.0020235253)"
"('use', 0.0047740415)","('digit', 0.0041307397)","('like', 0.0037550945)","('get', 0.0030255343)","('switch', 0.0029093)","('light', 0.0026081563)","('work', 0.002235819)","('go', 0.002229676)","('device', 0.0021571151)","('control', 0.0021075967)"
"('switch', 0.0046245097)","('digit', 0.004326393)","('get', 0.0034271332)","('use', 0.0031186673)","('would', 0.0028757988)","('light', 0.0026789461)","('smart', 0.0024855712)","('device', 0.0021664174)","('work', 0.0020853847)","('go', 0.0020111075)"
"('digit', 0.004479464)","('use', 0.00400781)","('switch', 0.0034955363)","('get', 0.0028377788)","('work', 0.0028166312)","('would', 0.002462634)","('go', 0.0023361405)","('like', 0.0022161412)","('light', 0.0021927406)","('device', 0.0021143777)"
"('digit', 0.0071768044)","('use', 0.005314182)","('switch', 0.0036689409)","('get', 0.003234812)","('go', 0.0026548498)","('smart', 0.0026418448)","('like', 0.0024586075)","('light', 0.0022850286)","('would', 0.002104654)","('work', 0.0020949934)"
